Tipo_Registro;Nr_Contrato;Dt_Vencimento;Tipo_Parcela;Nr_Parcela;Vl_Original;Vl_Saldo;Vl_Tarifa;Cliente;Dt_Inclusao;Dt_Devolucao;Dt_Inibicao;Motivo;Dt_Notificacao;Marcar_Dt_Lote;Dt_Lote;Documento;
7;000066425-2;28/10/2017;0;1;2.490,01;2.490,01;;3216;;13/12/2017;;61;;;;;
7;000066499-2;29/10/2017;0;2;1.174,70;1.174,70;;3215;;13/12/2017;;61;;;;;
7;000066524-2;30/10/2017;0;1;152.385,00;152.385,00;;3218;;13/12/2017;;61;;;;;
7;000066526-2;30/10/2017;0;1;142.212,00;142.212,00;;3218;;13/12/2017;;61;;;;;
7;000066536-2;30/10/2017;0;2;1.472,00;1.472,00;;3215;;13/12/2017;;61;;;;;
7;000066544-2;30/10/2017;0;2;1.334,32;1.334,32;;3215;;13/12/2017;;61;;;;;
7;000066557-2;30/10/2017;0;2;2.212,64;2.212,64;;3215;;13/12/2017;;61;;;;;
7;000066583-2;30/10/2017;0;2;2.719,97;2.719,97;;3215;;13/12/2017;;61;;;;;
7;000066584-2;30/10/2017;0;1;134.250,00;134.250,00;;3218;;13/12/2017;;61;;;;;
7;000066598-2;05/10/2017;0;2;1.468,00;1.468,00;;3215;;13/12/2017;;61;;;;;
7;000066598-2;12/10/2017;0;3;1.468,00;1.468,00;;3215;;13/12/2017;;61;;;;;
7;000066598-2;19/10/2017;0;4;1.468,00;1.468,00;;3215;;13/12/2017;;61;;;;;
7;000066598-2;26/10/2017;0;5;1.468,00;1.468,00;;3215;;13/12/2017;;61;;;;;
7;000066606-2;30/10/2017;0;1;134.250,00;134.250,00;;3218;;13/12/2017;;61;;;;;
7;000066621-2;10/05/2017;0;1;7.909,50;7.909,50;;3216;;13/12/2017;;61;;;;;
7;000066621-2;05/10/2017;0;1;7.909,50;7.909,50;;3216;;13/12/2017;;61;;;;;
7;000066628-2;05/10/2017;0;2;3.318,15;3.318,15;;3215;;13/12/2017;;61;;;;;
7;000066628-2;12/10/2017;0;3;3.318,25;3.318,25;;3215;;13/12/2017;;61;;;;;
7;000066629-2;05/10/2017;0;2;372,22;372,22;;3215;;13/12/2017;;61;;;;;
7;000066629-2;12/10/2017;0;3;372,23;372,23;;3215;;13/12/2017;;61;;;;;
7;000066640-2;30/10/2017;0;3;227,38;227,38;;3216;;13/12/2017;;61;;;;;
7;000066659-2;31/10/2017;0;3;212,64;212,64;;3215;;13/12/2017;;61;;;;;
7;000066714-2;04/10/2017;0;1;790,00;790,00;;3215;;13/12/2017;;61;;;;;
7;000066757-2;17/10/2017;0;2;1.879,77;1.879,77;;3215;;13/12/2017;;61;;;;;
7;000066773-2;13/10/2017;0;1;3.100,00;3.100,00;;3215;;13/12/2017;;61;;;;;
7;000066811-2;10/06/2017;0;2;219,76;219,76;;3215;;13/12/2017;;61;;;;;
7;000066811-2;06/10/2017;0;2;219,76;219,76;;3215;;13/12/2017;;61;;;;;
7;000066811-2;05/11/2017;0;3;219,76;219,76;;3215;;13/12/2017;;61;;;;;
7;000066832-2;08/10/2017;0;2;5.248,00;5.248,00;;3215;;13/12/2017;;61;;;;;
7;000066832-2;07/11/2017;0;3;5.248,00;5.248,00;;3215;;13/12/2017;;61;;;;;
7;000066896-2;11/10/2017;0;1;3.256,00;3.256,00;;3218;;13/12/2017;;61;;;;;
7;000066896-2;10/11/2017;0;2;3.256,00;3.256,00;;3218;;13/12/2017;;61;;;;;
7;000066911-2;10/11/2017;0;3;756,31;756,31;;3215;;13/12/2017;;61;;;;;
7;000066920-2;11/10/2017;0;1;534,85;534,85;;3216;;13/12/2017;;61;;;;;
7;000066920-2;10/11/2017;0;2;534,85;534,85;;3216;;13/12/2017;;61;;;;;
7;000066929-2;10/11/2017;0;3;850,99;850,99;;3217;;13/12/2017;;61;;;;;
7;000066982-2;10/10/2017;0;1;3.052,00;3.052,00;;3215;;13/12/2017;;61;;;;;
7;000067011-2;13/10/2017;0;2;484,72;484,72;;3215;;13/12/2017;;61;;;;;
7;000067023-2;13/10/2017;0;1;7.240,59;7.240,59;;3215;;13/12/2017;;61;;;;;
7;000067029-2;11/10/2017;0;1;789,00;789,00;;3215;;13/12/2017;;61;;;;;
7;000067034-2;13/10/2017;0;1;3.390,58;3.390,58;;3215;;13/12/2017;;61;;;;;
7;000067037-2;13/10/2017;0;1;1.397,99;1.397,99;;3215;;13/12/2017;;61;;;;;
7;000067066-2;14/10/2017;0;1;3.463,30;3.463,30;;3215;;13/12/2017;;61;;;;;
7;000067111-2;13/10/2017;0;1;372,97;372,97;;3217;;13/12/2017;;61;;;;;
7;000067111-2;27/10/2017;0;2;372,96;372,96;;3217;;13/12/2017;;61;;;;;
7;000067134-2;13/10/2017;0;1;2.750,00;2.750,00;;3215;;13/12/2017;;61;;;;;
7;000067139-2;30/10/2017;0;2;2.286,28;2.286,28;;3217;;13/12/2017;;61;;;;;
7;000067140-2;15/10/2017;0;1;790,00;790,00;;3215;;13/12/2017;;61;;;;;
7;000067155-2;30/10/2017;0;2;1.033,32;1.033,32;;3217;;13/12/2017;;61;;;;;
7;000067230-2;19/10/2017;0;1;2.548,00;2.548,00;;3215;;13/12/2017;;61;;;;;
7;000067240-2;17/10/2017;0;1;2.390,00;2.390,00;;3215;;13/12/2017;;61;;;;;
7;000067242-2;19/10/2017;0;2;1.921,76;1.921,76;;3217;;13/12/2017;;61;;;;;
7;000067242-2;03/11/2017;0;3;1.921,82;1.921,82;;3217;;13/12/2017;;61;;;;;
7;000067252-2;17/10/2017;0;1;1.100,00;1.100,00;;3215;;13/12/2017;;61;;;;;
7;000067296-2;20/10/2017;0;1;8.068,00;8.068,00;;3215;;13/12/2017;;61;;;;;
7;000067303-2;18/10/2017;0;1;595,11;595,11;;3215;;13/12/2017;;61;;;;;
7;000067305-2;18/10/2017;0;1;3.047,00;3.047,00;;3215;;13/12/2017;;61;;;;;
7;000067311-2;05/10/2017;0;1;434,62;434,62;;3215;;13/12/2017;;61;;;;;
7;000067311-2;20/10/2017;0;2;434,62;434,62;;3215;;13/12/2017;;61;;;;;
7;000067319-2;20/10/2017;0;1;2.618,00;2.618,00;;3215;;13/12/2017;;61;;;;;
7;000067342-2;21/10/2017;0;1;924,00;924,00;;3215;;13/12/2017;;61;;;;;
7;000067342-2;05/11/2017;0;2;924,00;924,00;;3215;;13/12/2017;;61;;;;;
7;000067343-2;06/10/2017;0;1;247,73;247,73;;3215;;13/12/2017;;61;;;;;
7;000067394-2;22/10/2017;0;1;11.664,00;11.664,00;;3215;;13/12/2017;;61;;;;;
7;000067432-2;20/10/2017;0;1;1.216,00;1.216,00;;3215;;13/12/2017;;61;;;;;
7;000067464-2;22/10/2017;0;1;48.148,92;48.148,92;;3215;;13/12/2017;;61;;;;;
7;000067505-2;09/11/2017;0;2;5.809,95;5.809,95;;3215;;13/12/2017;;61;;;;;
7;000067535-2;26/10/2017;0;1;930,67;930,67;;3216;;13/12/2017;;61;;;;;
7;000067545-2;24/10/2017;0;1;1.850,00;1.850,00;;3215;;13/12/2017;;61;;;;;
7;000067570-2;24/10/2017;0;1;765,00;765,00;;3216;;13/12/2017;;61;;;;;
7;000067587-2;11/10/2017;0;1;234,75;234,75;;3215;;13/12/2017;;61;;;;;
7;000067611-2;24/10/2017;0;1;10.051,84;10.051,84;;3216;;13/12/2017;;61;;;;;
7;000067612-2;10/11/2017;0;1;4.669,00;4.669,00;;3215;;13/12/2017;;61;;;;;
7;000067614-2;26/10/2017;0;1;8.106,00;8.106,00;;3215;;13/12/2017;;61;;;;;
7;000067664-2;25/10/2017;0;1;4.823,28;4.823,28;;3217;;13/12/2017;;61;;;;;
7;000067696-2;13/10/2017;0;1;838,99;838,99;;3216;;13/12/2017;;61;;;;;
7;000067696-2;28/10/2017;0;2;838,99;838,99;;3216;;13/12/2017;;61;;;;;
7;000067699-2;28/10/2017;0;1;6.203,00;6.203,00;;3215;;13/12/2017;;61;;;;;
7;000067711-2;13/10/2017;0;1;1.050,98;1.050,98;;3215;;13/12/2017;;61;;;;;
7;000067712-2;28/10/2017;0;1;2.564,97;2.564,97;;3218;;13/12/2017;;61;;;;;
7;000067730-2;28/10/2017;0;1;1.728,22;1.728,22;;3217;;13/12/2017;;61;;;;;
7;000067733-2;13/10/2017;0;1;1.008,34;1.008,34;;3217;;13/12/2017;;61;;;;;
7;000067733-2;28/10/2017;0;2;1.008,34;1.008,34;;3217;;13/12/2017;;61;;;;;
7;000067767-2;13/10/2017;0;1;234,75;234,75;;3215;;13/12/2017;;61;;;;;
7;000067768-2;13/10/2017;0;1;220,57;220,57;;3215;;13/12/2017;;61;;;;;
7;000067768-2;28/10/2017;0;2;220,57;220,57;;3215;;13/12/2017;;61;;;;;
7;000067802-2;29/10/2017;0;1;9.968,23;9.968,23;;3218;;13/12/2017;;61;;;;;
7;000067808-2;27/10/2017;0;1;784,00;784,00;;3215;;13/12/2017;;61;;;;;
7;000067812-2;06/11/2017;0;1;1.160,03;1.160,03;;3215;;13/12/2017;;61;;;;;
